,dataset,subject,session,run,fold,n_blocks,roc_auc_score
362,008-2014,5,session_0,run_0,2,11,0.8613469387755102
363,008-2014,5,session_0,run_0,2,12,0.860704081632653
364,008-2014,5,session_0,run_0,2,13,0.8608571428571428
365,008-2014,5,session_0,run_0,2,14,0.8619081632653062
366,008-2014,5,session_0,run_0,2,15,0.862
367,008-2014,5,session_0,run_0,2,16,0.8620204081632653
368,008-2014,5,session_0,run_0,3,1,0.8584897959183673
369,008-2014,5,session_0,run_0,3,2,0.8703571428571428
370,008-2014,5,session_0,run_0,3,3,0.8843163265306122
371,008-2014,5,session_0,run_0,3,4,0.889030612244898
372,008-2014,5,session_0,run_0,3,5,0.891469387755102
373,008-2014,5,session_0,run_0,3,6,0.8907142857142857
374,008-2014,5,session_0,run_0,3,7,0.891357142857143
375,008-2014,5,session_0,run_0,3,8,0.8915816326530612
376,008-2014,5,session_0,run_0,3,9,0.8916734693877552
377,008-2014,5,session_0,run_0,3,10,0.8917040816326531
378,008-2014,5,session_0,run_0,3,11,0.8894591836734693
379,008-2014,5,session_0,run_0,3,12,0.8901020408163265
380,008-2014,5,session_0,run_0,3,13,0.8901326530612244
381,008-2014,5,session_0,run_0,3,14,0.8901428571428571
382,008-2014,5,session_0,run_0,3,15,0.8901428571428571
383,008-2014,5,session_0,run_0,3,16,0.8906836734693877
384,008-2014,5,session_0,run_0,4,1,0.8566224489795918
385,008-2014,5,session_0,run_0,4,2,0.8346836734693877
386,008-2014,5,session_0,run_0,4,3,0.849530612244898
387,008-2014,5,session_0,run_0,4,4,0.8493877551020407
388,008-2014,5,session_0,run_0,4,5,0.8522244897959182
389,008-2014,5,session_0,run_0,4,6,0.8497755102040818
390,008-2014,5,session_0,run_0,4,7,0.8505510204081633
391,008-2014,5,session_0,run_0,4,8,0.8501530612244899
392,008-2014,5,session_0,run_0,4,9,0.8500612244897958
393,008-2014,5,session_0,run_0,4,10,0.8499387755102041
394,008-2014,5,session_0,run_0,4,11,0.8500102040816326
395,008-2014,5,session_0,run_0,4,12,0.8510102040816326
396,008-2014,5,session_0,run_0,4,13,0.8511020408163266
397,008-2014,5,session_0,run_0,4,14,0.8518367346938774
398,008-2014,5,session_0,run_0,4,15,0.8515204081632652
399,008-2014,5,session_0,run_0,4,16,0.8521020408163266
400,008-2014,6,session_0,run_0,0,1,0.8260408163265306
401,008-2014,6,session_0,run_0,0,2,0.8548775510204081
402,008-2014,6,session_0,run_0,0,3,0.8669489795918366
403,008-2014,6,session_0,run_0,0,4,0.867765306122449
404,008-2014,6,session_0,run_0,0,5,0.8672857142857143
405,008-2014,6,session_0,run_0,0,6,0.8677142857142858
406,008-2014,6,session_0,run_0,0,7,0.8678163265306122
407,008-2014,6,session_0,run_0,0,8,0.8682755102040816
408,008-2014,6,session_0,run_0,0,9,0.8682551020408162
409,008-2014,6,session_0,run_0,0,10,0.868295918367347
410,008-2014,6,session_0,run_0,0,11,0.8682551020408164
411,008-2014,6,session_0,run_0,0,12,0.8681938775510204
412,008-2014,6,session_0,run_0,0,13,0.868234693877551
413,008-2014,6,session_0,run_0,0,14,0.8682040816326531
414,008-2014,6,session_0,run_0,0,15,0.8682142857142858
415,008-2014,6,session_0,run_0,0,16,0.8682448979591837
416,008-2014,6,session_0,run_0,1,1,0.8592142857142857
417,008-2014,6,session_0,run_0,1,2,0.8780102040816327
418,008-2014,6,session_0,run_0,1,3,0.8775714285714286
419,008-2014,6,session_0,run_0,1,4,0.879704081632653
420,008-2014,6,session_0,run_0,1,5,0.8770306122448981
421,008-2014,6,session_0,run_0,1,6,0.8775306122448979
422,008-2014,6,session_0,run_0,1,7,0.8822040816326531
423,008-2014,6,session_0,run_0,1,8,0.8819897959183673
424,008-2014,6,session_0,run_0,1,9,0.8818877551020408
425,008-2014,6,session_0,run_0,1,10,0.8817448979591838
426,008-2014,6,session_0,run_0,1,11,0.8817244897959182
427,008-2014,6,session_0,run_0,1,12,0.881704081632653
428,008-2014,6,session_0,run_0,1,13,0.8816632653061225
429,008-2014,6,session_0,run_0,1,14,0.8816530612244897
430,008-2014,6,session_0,run_0,1,15,0.8816530612244897
431,008-2014,6,session_0,run_0,1,16,0.8816836734693877
432,008-2014,6,session_0,run_0,2,1,0.8677448979591837
433,008-2014,6,session_0,run_0,2,2,0.9127448979591837
434,008-2014,6,session_0,run_0,2,3,0.9144591836734693
435,008-2014,6,session_0,run_0,2,4,0.9110714285714285
436,008-2014,6,session_0,run_0,2,5,0.9101428571428573
437,008-2014,6,session_0,run_0,2,6,0.9067857142857142
438,008-2014,6,session_0,run_0,2,7,0.9066326530612244
439,008-2014,6,session_0,run_0,2,8,0.909234693877551
440,008-2014,6,session_0,run_0,2,9,0.909
441,008-2014,6,session_0,run_0,2,10,0.9088775510204081
442,008-2014,6,session_0,run_0,2,11,0.9087448979591837
443,008-2014,6,session_0,run_0,2,12,0.9081734693877551
444,008-2014,6,session_0,run_0,2,13,0.9081734693877551
445,008-2014,6,session_0,run_0,2,14,0.9086428571428572
446,008-2014,6,session_0,run_0,2,15,0.9087551020408163
447,008-2014,6,session_0,run_0,2,16,0.9117244897959184
448,008-2014,6,session_0,run_0,3,1,0.8201530612244898
449,008-2014,6,session_0,run_0,3,2,0.8511326530612245
450,008-2014,6,session_0,run_0,3,3,0.8468469387755102
451,008-2014,6,session_0,run_0,3,4,0.8439795918367349
452,008-2014,6,session_0,run_0,3,5,0.8496224489795918
453,008-2014,6,session_0,run_0,3,6,0.8495816326530613
454,008-2014,6,session_0,run_0,3,7,0.8539795918367347
455,008-2014,6,session_0,run_0,3,8,0.8541632653061224
456,008-2014,6,session_0,run_0,3,9,0.8540000000000001
457,008-2014,6,session_0,run_0,3,10,0.8539897959183673
458,008-2014,6,session_0,run_0,3,11,0.8539897959183674
459,008-2014,6,session_0,run_0,3,12,0.8539591836734693
460,008-2014,6,session_0,run_0,3,13,0.8537755102040817
461,008-2014,6,session_0,run_0,3,14,0.8536020408163265
462,008-2014,6,session_0,run_0,3,15,0.8534795918367345
